route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
174_0,1,796,Campo Grande (Metro) - Galinheiras,,3,,,
146_1,1,702,Serafina - Mq. Pombal - R. Joaquim A. Aguiar,,3,,,
245_0,1,19B,Campo Mártires Pátria / circulação S. Bento,,3,,,
277_0,1,45B,Alta Lisboa - Paço Lumiar,,3,,,
167_0,1,753,Pç. José Fontana - Centro Sul,,3,,,
167_4,1,753,Marquês Pombal - Viaduto Duarte Pacheco,,3,,,
159_0,1,52E,Ascensor Lavra,,3,,,
145_0,1,793,Marvila - Estação Roma-Areeiro,,3,,,
78_0,1,18E,Cais Sodré - Cemitério Ajuda,,3,,,
236_0,1,22B,Cais Sodré / circulação Príncipe Real,,3,,,
242_0,1,10B,Campo Cebolas / circulação Graça,,3,,,
62_0,1,203,Restelo-Xabregas,,3,,,
194_0,1,798,Campo Grande (Metro) - Galinheiras,,3,,,
61_1,1,202,Estação Benfica - Estr. Benfica / Av. Gomes Pereira,,3,,,
194_3,1,798,Saldanha - Esc. Pintor Almada Negreiros,,3,,,
219_0,1,76B,Boa Hora / circulação Caramão Ajuda,,3,,,
103_5,1,727,Mq. Pombal - R. Braamcamp - Restelo - Av. Descobertas,,3,,,
103_4,1,727,Estação Roma-Areeiro - Restelo - Av. Descobertas,,3,,,
103_3,1,727,Belém - Esc. Paula Vicente,,3,,,
103_2,1,727,Mq. Pombal - Av. Fontes P. Melo - Esc. Paula Vicente,,3,,,
103_1,1,727,Mq. Pombal - R. Braamcamp - Esc. Paula Vicente,,3,,,
103_0,1,727,Estação Roma-Areeiro - Restelo,,3,,,
176_0,1,705,Estação Oriente - Estação Roma-Areeiro,,3,,,
243_0,1,13B,Sapadores / circulação Sta. Apolónia,,3,,,
161_0,1,54E,Elevador Sta. Justa,,3,,,
147_3,1,706,R. José Estêvão - Cais Sodré,,3,,,
147_1,1,706,R. Morais Soares - Qta. Peixinhos,,3,,,
147_0,1,706,Cais Sodré - Estação Sta. Apolónia,,3,,,
175_0,1,756,Olaias - Junqueira,,3,,,
175_3,1,756,Av. João XXI / Pç. Londres - Pç. Espanha (Pq. Urbano),,3,,,
240_0,1,55B,Carnide (C. Comercial) / circulação B. Padre Cruz Carnide,,3,,,
196_0,1,722,Restauradores - Portela,,3,,,
136_0,1,206,Cais Sodré - Odivelas,,3,,,
170_4,1,717,Campo Grande (Metro) - Estr. Torre,,3,,,
136_1,1,206,R. Morais Soares - Av. Maria Helena Vieira Silva,,3,,,
170_0,1,717,Pç. Chile - Fetais,,3,,,
241_0,1,61B,Bela Flor - B. Liberdade (via Sete Rios),,3,,,
